Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
qc_bundle_trimmed | SRR30333761_1	SRR30333761_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41844421.0	0.0	66-151	49.0	37.47836399049046	150.46211437601204	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333761_2	SRR30333761_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41844175.0	0.0	30-151	49.0	36.24747333310105	150.9310294921575	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333762_1	SRR30333762_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40388094.0	0.0	47-151	49.0	34.83281828716763	150.93470263786153	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333762_2	SRR30333762_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40387963.0	0.0	30-151	49.0	36.2500977514244	150.9417231069564	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333763_1	SRR30333763_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42844247.0	0.0	33-151	49.0	34.23492245996461	150.95248045787804	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333763_2	SRR30333763_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42844155.0	0.0	30-151	49.0	35.673103858865176	150.93518728517344	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333764_1	SRR30333764_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40512573.0	0.0	56-151	49.0	35.437114284951306	150.46097779323964	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333764_2	SRR30333764_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40512475.0	0.0	30-151	49.0	36.37102439309899	150.93786750871183	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333765_1	SRR30333765_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40364475.0	0.0	32-151	49.0	38.06785514659004	150.9234965399649	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333765_2	SRR30333765_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40364203.0	0.0	30-151	49.0	37.38322188604993	150.92765936689003	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333766_1	SRR30333766_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45014719.0	0.0	47-151	49.0	34.48889579259558	150.96004920079585	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
